system,type,tp,fp,fn,precision,recall,f1
spacy,GPE,156,45,60,0.7761194029850746,0.7222222222222222,0.7482014388489208
spacy,ORG,230,128,157,0.6424581005586593,0.5943152454780362,0.6174496644295302
spacy,PERSON,327,37,172,0.8983516483516484,0.655310621242485,0.7578215527230591
llm,GPE,169,10,47,0.9441340782122905,0.7824074074074074,0.8556962025316455
llm,ORG,216,59,171,0.7854545454545454,0.5581395348837209,0.6525679758308157
llm,PERSON,365,12,134,0.9681697612732095,0.7314629258517034,0.8333333333333334
hybrid,GPE,162,22,54,0.8804347826086957,0.75,0.8099999999999999
hybrid,ORG,216,74,171,0.7448275862068966,0.5581395348837209,0.638109305760709
hybrid,PERSON,323,22,176,0.936231884057971,0.6472945891783567,0.7654028436018957
